Exhibitor,Sponsor Level,Description
"Acelab","Silver Sponsor","The building products platform for architects. Acelab provides a data-driven workflow for product research and specification."
"Advance2000","Exhibitor","Specializes in IT cloud solutions for the AEC industry, including virtual desktops, high-performance computing, and project collaboration."
"aec+tech, AI in AEC and Neostack","Exhibitor","A community and platform showcasing the latest technology, AI innovations, and startups transforming the AEC industry."
"AkitaBox","Silver Sponsor","Facility management software that automates maintenance and improves capital planning through location-based data and automated workflows."
"Aktion Associates","Silver Sponsor","A national provider of industry-specific software and IT infrastructure solutions for the Architecture, Engineering, and Construction market."
"Apryse","Silver Sponsor","Provider of document processing technology, offering powerful SDKs for viewing, annotating, and editing PDFs and other documents in AEC workflows."
"AVAIL","Exhibitor","A content management platform that helps AEC firms find, organize, and manage digital assets like Revit families and AutoCAD files."
"BQE","Exhibitor","Provider of BQE CORE, an integrated platform for project management, time tracking, billing, and accounting for professional services firms."
"Box","Exhibitor","Cloud content management and file sharing service that enables AEC firms to securely collaborate on large project files from anywhere."
"Creative ITC","Exhibitor","Global cloud services provider specializing in high-performance virtual workstation solutions (VDI) tailored for graphics-intensive AEC applications."
"D5 Render","Exhibitor","A real-time ray tracing renderer that integrates with BIM/CAD software to provide high-quality architectural visualization and animation."
"Deltek","Gold Sponsor","Global provider of enterprise software and information solutions for project-based businesses, including Ajera and Vantagepoint for AEC."
"Egnyte","Gold Sponsor","Cloud content security and governance platform that provides secure file sharing and collaboration specifically designed for AEC project environments."
"Full Sail Partners","Exhibitor","A Deltek partner providing business consulting and technology solutions to help professional services firms optimize their Deltek software."
"Hallian Technologies","Gold Sponsor","Specializes in advanced technology solutions and software integrations designed to streamline AEC business operations."
"Harbor Compliance","Silver Sponsor","Assists AEC firms with licensing, entity management, and regulatory compliance across multiple jurisdictions."
"Iconic BIM/Guardian","Exhibitor","Provides Guardian, a Revit-specific add-in that protects project data integrity by preventing unapproved elements from entering models."
"IES","Exhibitor","Integrated Environmental Solutions (IES) provides Virtual Environment (IESVE) software for integrated performance-based building analysis and digital twin tools."
"InspectMind AI","Exhibitor","An AI-powered tool designed to automate and streamline the building inspection process and report generation for AEC professionals."
"Joist AI","Gold Sponsor","An AI-powered platform for AEC marketing and business development teams to streamline proposal writing and data management."
"Kinship","Exhibitor","A Revit content management and BIM analytics platform that helps firms organize their libraries and track how content is used."
"Knowledge Architecture","Platinum Sponsor","Provider of Synthesis, an intranet platform designed specifically for AEC firms to help with knowledge management and employee engagement."
"Mosaic","Gold Sponsor","Resource management and project planning software that integrates with ERP systems to help AEC firms optimize their workforce."
"NetCov","Exhibitor","A managed IT services provider focused on cybersecurity and technology infrastructure for mid-sized architecture and engineering firms."
"Newforma","Gold Sponsor","Project information management (PIM) software that streamlines project communication, RFI tracking, and submittal workflows for AEC teams."
"Nomic","Silver Sponsor","Provides financial and operational intelligence tools specifically designed for AEC firm leaders to improve profitability."
"OpenAsset","Platinum Sponsor","A project-based digital asset management (DAM) system built for the AEC industry to help marketing teams manage photos and create proposals."
"Quantum Reality Capture","Exhibitor","Specializes in 3D laser scanning and reality capture services to provide high-accuracy digital twins and as-built documentation."
"Seev","Exhibitor","A technology platform focused on enhancing visibility and collaboration in the construction and design process."
"SigParser","Silver Sponsor","Automated email signature parsing and contact management tool that helps firms keep their CRM data updated without manual entry."
"/slantis","Silver Sponsor","A BIM consultancy and technology firm helping AEC companies implement digital transformation and complex BIM workflows."
"slashBlue","Gold Sponsor","An IT consulting and managed services firm that helps AEC firms modernize their technology stacks and secure their digital environments."
"STEPS Consulting Group","Exhibitor","Provides strategic consulting services for AEC firms, focusing on leadership development, operations, and firm growth."
"Structured AI","Exhibitor","Develops AI solutions for the structural engineering industry to automate design tasks and improve structural analysis efficiency."
"TrebleHook","Exhibitor","A CRM and project pursuit platform built on Salesforce specifically for the AEC industry to manage the business development lifecycle."
"UpCodes","Silver Sponsor","A searchable platform for building codes that integrates with BIM software to help AEC professionals ensure code compliance in real-time."
"Unanet","Exhibitor","Provides project-based ERP and CRM solutions designed specifically for AEC firms to manage projects, people, and financials in one place."
"Vavetek AI","Exhibitor","An AI-driven platform focusing on enhancing design workflows and decision-making processes for architects and engineers."
"Visual Workforce","Silver Sponsor","A skills management and workforce planning platform that helps firms visualize their employees' capabilities for better project staffing."
"WPM Technology","Silver Sponsor","Specializes in customized software solutions and technology consulting to improve project delivery and operational efficiency in AEC."
